Subject,Text
  unable to delete ticket so have removed text,"I have two panels on a page.&nbsp; &nbsp;One has search criteria and the other the aspxgrid which will display the results.&nbsp; &nbsp; &nbsp;When the page is first displayed, the panel with the d=grid is hidden since there are no results as yet.&nbsp; &nbsp; &nbsp;The user fills in the criteria and clicks on the search button which then retrieves the required data from the database and populates the grid and then makes the panel with the grid visible to the user.<br><br>What is happening is that the grid is displayed but none of the paging works.&nbsp; &nbsp; &nbsp;The paging does work if I make the panel with the grid visible from the start but this does not look right to the user since they can see an emply grid.&nbsp; &nbsp; I have tried turning off clallbacks but this does not work.<br><br>Please advise. "
 AccordionControl Hamburger Menu - Elements are not aligned correctly when using an image,"HI ,<br><br>i am facing lot of issues with hamburger menu (accordion) . Recent one is , when its render with default means no group image then groups and subgroups element align properly. but  after setting group image cant distinguish&nbsp;groups and subgroups element appears in single line. Please find image attached"
 Assign text to an aspxTexbox that is inside an Aspxgridview from the server,"Hello Support,<br><br><br>I need to load a value (obtained from the database) into an aspxtexbox that is inside a gridview. The problem is that the value is loaded in all rows of the gridview and I just need to load it in the texbox of the first row.<br><br><br>Any idea how to do this?<br><br><br>As always, thanking you for your valuable help. .)<br><br>see attached image <br><br><br>Thank you<br>"
 dxTextBox - The onEnterKey handler does not pass the validationGroup option in Angular 2,When setting up a dxTextBox within a dx-validation-group and pressing enter when the text box has focus it does not supply the validationGroup property on the event. &nbsp;When clicking on a dxButton within the same validation group its event does contain the validationGroup. &nbsp;I am wanting to trigger validation when hitting enter from a text box. &nbsp;I have a dx-validator with required specified on the dxTextBox. &nbsp;Is there another way to gain access to the validationGroup from the onEnterKey event?<br><br> 
" How to add a custom Pie Chart item with predefined datasource, query and dimensions/measures using the client-side JavaScript code","Hello,<br><br>I want to add a custom item to the web dashboard toolbox, this custom item will add a Pie chart with specific datasource, query and dimensions and measures. How can I call the Pie chart toolbox item so it adds the pie to the dashboard and then how can I add the specifc datasource, query and dimensions I want using the javascript api? "
" How to add a Pie Chart item with predefined datasource, query and dimensions/measures using the client-side JavaScript code","Hello,<br><br>I want to add a custom item to the web dashboard toolbox, this custom item will add a Pie chart with specific datasource, query and dimensions and measures. How can I call the Pie chart toolbox item so it adds the pie to the dashboard and then how can I add the specifc datasource, query and dimensions I want using the javascript api? "
 Is there any way so i can modify the y axis label,"Hi,<br><br>&nbsp;&nbsp;&nbsp; Is there any way so i can modify the y axis label which are auto printing on charts? <br>please find the attached image for reference.<br> <br> <br>"
 SessionMixingException occurs in some scenarios if a non persistent object is the BaseObject descendant,"<p>Hi,<br />
<br />
 I&#39;m getting a SessionMixingException when I update persistent objects, from a listview action that opens up a nonpersistent detail view.<br />
This worked fine in previous DX versions but not in 13.2.7.<br />
<br />
I&#39;ve attached an example that demonstrates the issue. On the &#39;Data Row Item&#39; List view there is an action button &#39;Allocate Data&#39;. This pops up a nonpersistent detail view of type DataItemAllocationCriteria.  <br />
<br />
The user picks all sorts of options (limited in this example) that are applied to select dataRowItems to allocate to a person.<br />
<br />
The action then assigns the selected number of DataRowItems to the personnel, if I call ObjectSpace.Refresh() in order to refresh the root list view, now I get this exception on my nonpersistent object: <br />
<br />
<i>Type:       SessionMixingException<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Message:    The &#39;SessionMixingExample.Module.BusinessObjects.DataItemAllocationCriteria&#39; object belongs to a different session.<br />
<br />
<br />
</i>I would appreciate any assistance with this problem.<br />
</p>"
" Why might the ""Could not load file or assembly 'DevExpress.Web.Resources.v16.2"" error be raised in production after update","Hello..<br><br>I updated devexpress version 16.2.6, in my laptop and in test server, it work. But, when deploy in production server it not work.<br>Generate the error: <br><br>&nbsp;Could not load file or assembly 'DevExpress.Web.Resources.v16.2....<br><br>I cleared the temporary files, and all&nbsp;libraries load minus  DevExpress.Web.Resources.v16.2.<br><br>What can be happening?<br><br>Thanks.<br> "
  TreeList - Assigning a large data source requires a lot of time ,"Hello,<br />i fill a TreeList with 90.000 nodes about DataSource and this needed 45 seconds.<br />This is to slow. How can i this faster doing.<br /><br />Please, can you help me<br /><br />Thank you<br />Regards,<br />Reza Habibi<br /><br />"
